parede_n,Amostra,Quadrante,Valor,D_m,Altura
1,90,6,33,10,0.90
1,90,6,68,15,0.90
1,90,6,101,20,0.90
1,90,6,130,25,0.90
1,90,6,193,30,0.90
1,90,6,266,35,0.90
1,91,7,0,0,0.70
1,91,7,41,10,0.70
1,91,7,62,15,0.70
1,91,7,93,20,0.70
1,91,7,120,25,0.70
1,91,7,146,30,0.70
1,91,7,199,35,0.70
1,92,8,0,0,0.70
1,92,8,45,10,0.70
1,92,8,73,15,0.70
1,92,8,101,20,0.70
1,92,8,126,25,0.70
1,92,8,151,30,0.70
1,92,8,185,35,0.70
1,93,9,0,0,0.50
1,93,9,36,10,0.50
1,93,9,58,15,0.50
1,93,9,78,20,0.50
1,93,9,123,25,0.50
1,93,9,179,30,0.50
1,93,9,199,35,0.50
1,94,10,0,0,0.50
1,94,10,44,10,0.50
1,94,10,62,15,0.50
1,94,10,132,20,0.50
1,94,10,177,25,0.50
1,94,10,197,30,0.50
1,94,10,229,35,0.50
1,95,11,0,0,0.30
1,95,11,28,10,0.30
1,95,11,51,15,0.30
1,95,11,78,20,0.30
1,95,11,106,25,0.30
1,95,11,125,30,0.30
1,95,11,143,35,0.30
1,96,12,0,0,0.30
1,96,12,40,10,0.30
1,96,12,59,15,0.30
1,96,12,82,20,0.30
1,96,12,158,25,0.30
1,96,12,180,30,0.30
1,96,12,217,35,0.30
1,97,1,0,0,1.30
1,97,1,37,10,1.30
1,97,1,96,15,1.30
1,97,1,101,20,1.30
1,97,1,179,25,1.30
1,97,1,210,30,1.30
1,97,1,392,35,1.30
1,98,2,0,0,1.30
1,98,2,37,10,1.30
1,98,2,83,15,1.30
1,98,2,149,20,1.30
1,98,2,265,25,1.30
1,98,2,356,30,1.30
1,98,2,466,35,1.30
1,99,3,0,0,1.10
1,99,3,34,10,1.10
1,99,3,46,15,1.10
1,99,3,94,20,1.10
1,99,3,161,25,1.10
1,99,3,234,30,1.10
1,99,3,353,35,1.10
1,100,4,0,0,1.10
1,100,4,22,10,1.10
1,100,4,57,15,1.10
1,100,4,94,20,1.10
1,100,4,137,25,1.10
1,100,4,155,30,1.10
1,100,4,189,35,1.10
1,101,5,0,0,0.90
1,101,5,38,10,0.90
1,101,5,64,15,0.90
1,101,5,136,20,0.90
1,101,5,202,25,0.90
1,101,5,458,30,0.90
1,101,5,656,35,0.90
1,102,6,0,0,0.90
1,102,6,38,10,0.90
1,102,6,66,15,0.90
1,102,6,98,20,0.90
1,102,6,128,25,0.90
1,102,6,233,30,0.90
1,102,6,318,35,0.90
1,103,7,0,0,0.70
1,103,7,50,10,0.70
1,103,7,79,15,0.70
1,103,7,94,20,0.70
1,103,7,121,25,0.70
1,103,7,145,30,0.70
1,103,7,193,35,0.70
1,104,8,0,0,0.70
1,104,8,40,10,0.70
1,104,8,68,15,0.70
1,104,8,99,20,0.70
1,104,8,140,25,0.70
1,104,8,174,30,0.70
1,104,8,227,35,0.70
1,105,9,0,0,0.50
1,105,9,36,10,0.50
1,105,9,59,15,0.50
1,105,9,80,20,0.50
1,105,9,130,25,0.50
1,105,9,163,30,0.50
1,105,9,183,35,0.50
1,106,10,0,0,0.50
1,106,10,34,10,0.50
1,106,10,72,15,0.50
1,106,10,135,20,0.50
1,106,10,154,25,0.50
1,106,10,173,30,0.50
1,106,10,202,35,0.50
1,107,11,0,0,0.30
1,107,11,31,10,0.30
1,107,11,48,15,0.30
1,107,11,71,20,0.30
1,107,11,103,25,0.30
1,107,11,118,30,0.30
1,107,11,147,35,0.30
1,108,12,0,0,0.30
1,108,12,37,10,0.30
1,108,12,73,15,0.30
1,108,12,91,20,0.30
1,108,12,114,25,0.30
1,108,12,178,30,0.30
1,108,12,220,35,0.30
1,109,1,0,0,1.30
1,109,1,43,10,1.30
1,109,1,74,15,1.30
1,109,1,116,20,1.30
1,109,1,177,25,1.30
1,109,1,284,30,1.30
1,109,1,433,35,1.30
1,110,2,0,0,1.30
1,110,2,38,10,1.30
1,110,2,85,15,1.30
1,110,2,156,20,1.30
1,110,2,287,25,1.30
1,110,2,364,30,1.30
1,110,2,655,35,1.30
1,111,3,0,0,1.10
1,111,3,34,10,1.10
1,111,3,45,15,1.10
1,111,3,91,20,1.10
1,111,3,115,25,1.10
1,111,3,153,30,1.10
1,111,3,340,35,1.10
1,112,4,0,0,1.10
1,112,4,35,10,1.10
1,112,4,56,15,1.10
1,112,4,98,20,1.10
1,112,4,111,25,1.10
1,112,4,155,30,1.10
1,112,4,211,35,1.10
1,113,5,0,0,0.90
1,113,5,36,10,0.90
1,113,5,70,15,0.90
1,113,5,161,20,0.90
1,113,5,202,25,0.90
1,113,5,459,30,0.90
1,113,5,582,35,0.90
1,114,6,0,0,0.90
1,114,6,37,10,0.90
1,114,6,63,15,0.90
1,114,6,117,20,0.90
1,114,6,161,25,0.90
1,114,6,230,30,0.90
1,114,6,273,35,0.90
1,115,7,0,0,0.70
1,115,7,51,10,0.70
1,115,7,69,15,0.70
1,115,7,89,20,0.70
1,115,7,121,25,0.70
1,115,7,149,30,0.70
1,115,7,191,35,0.70
1,116,8,0,0,0.70
1,116,8,44,10,0.70
1,116,8,67,15,0.70
1,116,8,96,20,0.70
1,116,8,149,25,0.70
1,116,8,171,30,0.70
1,116,8,191,35,0.70
1,117,9,0,0,0.50
1,117,9,36,10,0.50
1,117,9,59,15,0.50
1,117,9,84,20,0.50
1,117,9,129,25,0.50
1,117,9,145,30,0.50
1,117,9,169,35,0.50
1,118,10,0,0,0.50
1,118,10,45,10,0.50
1,118,10,65,15,0.50
1,118,10,135,20,0.50
1,118,10,161,25,0.50
1,118,10,180,30,0.50
1,118,10,216,35,0.50
1,119,11,0,0,0.30
1,119,11,28,10,0.30
1,119,11,54,15,0.30
1,119,11,70,20,0.30
1,119,11,111,25,0.30
1,119,11,123,30,0.30
1,119,11,143,35,0.30
1,120,12,0,0,0.30
1,120,12,38,10,0.30
1,120,12,69,15,0.30
1,120,12,99,20,0.30
1,120,12,164,25,0.30
1,120,12,197,30,0.30
1,120,12,211,35,0.30
2,121,1,0.00,0,1.30
2,121,1,44.40,10,1.30
2,121,1,75.00,15,1.30
2,121,1,96.50,20,1.30
2,121,1,104.80,25,1.30
2,121,1,156.60,30,1.30
2,121,1,218.00,35,1.30
2,122,2,0.00,0,1.30
2,122,2,93.30,10,1.30
2,122,2,154.50,15,1.30
2,122,2,154.30,20,1.30
2,122,2,243.00,25,1.30
2,122,2,385.00,30,1.30
2,122,2,667.00,35,1.30
2,123,3,0.00,0,1.10
2,123,3,29.80,10,1.10
2,123,3,55.20,15,1.10
2,123,3,80.10,20,1.10
2,123,3,94.00,25,1.10
2,123,3,125.90,30,1.10
2,123,3,317.00,35,1.10
2,124,4,0.00,0,1.10
2,124,4,39.80,10,1.10
2,124,4,88.70,15,1.10
2,124,4,123.50,20,1.10
2,124,4,161.10,25,1.10
2,124,4,526.00,30,1.10
2,124,4,747.00,35,1.10
2,125,5,0.00,0,0.90
2,125,5,72.80,10,0.90
2,125,5,94.00,15,0.90
2,125,5,133.20,20,0.90
2,125,5,173.20,25,0.90
2,125,5,166.30,30,0.90
2,125,5,240.00,35,0.90
2,126,6,0.00,0,0.90
2,126,6,37.60,10,0.90
2,126,6,68.60,15,0.90
2,126,6,96.30,20,0.90
2,126,6,119.90,25,0.90
2,126,6,182.70,30,0.90
2,126,6,174.50,35,0.90
2,127,7,0.00,0,0.70
2,127,7,24.90,10,0.70
2,127,7,64.10,15,0.70
2,127,7,95.30,20,0.70
2,127,7,124.10,25,0.70
2,127,7,158.20,30,0.70
2,127,7,202.00,35,0.70
2,128,8,0.00,0,0.70
2,128,8,39.40,10,0.70
2,128,8,71.30,15,0.70
2,128,8,113.20,20,0.70
2,128,8,141.70,25,0.70
2,128,8,202.00,30,0.70
2,128,8,377.00,35,0.70
2,129,9,0.00,0,0.50
2,129,9,28.50,10,0.50
2,129,9,55.50,15,0.50
2,129,9,81.40,20,0.50
2,129,9,111.00,25,0.50
2,129,9,163.00,30,0.50
2,129,9,208.00,35,0.50
2,130,10,0.00,0,0.50
2,130,10,35.00,10,0.50
2,130,10,59.90,15,0.50
2,130,10,108.00,20,0.50
2,130,10,146.90,25,0.50
2,130,10,159.00,30,0.50
2,130,10,231.00,35,0.50
2,131,11,0.00,0,0.30
2,131,11,35.70,10,0.30
2,131,11,66.60,15,0.30
2,131,11,88.90,20,0.30
2,131,11,279.00,25,0.30
2,131,11,222.00,30,0.30
2,131,11,421.00,35,0.30
2,132,12,0.00,0,0.30
2,132,12,38.00,10,0.30
2,132,12,71.90,15,0.30
2,132,12,158.60,20,0.30
2,132,12,162.30,25,0.30
2,132,12,240.00,30,0.30
2,132,12,410.00,35,0.30
2,133,1,0.00,0,1.30
2,133,1,38.40,10,1.30
2,133,1,70.30,15,1.30
2,133,1,85.40,20,1.30
2,133,1,102.60,25,1.30
2,133,1,140.60,30,1.30
2,133,1,246.00,35,1.30
2,134,3,0.00,0,1.10
2,134,3,33.90,10,1.10
2,134,3,56.60,15,1.10
2,134,3,89.60,20,1.10
2,134,3,94.60,25,1.10
2,134,3,147.20,30,1.10
2,134,3,219.00,35,1.10
2,135,4,0.00,0,1.10
2,135,4,55.00,10,1.10
2,135,4,97.10,15,1.10
2,135,4,121.80,20,1.10
2,135,4,168.70,25,1.10
2,135,4,468.00,30,1.10
2,135,4,667.00,35,1.10
2,136,5,0.00,0,0.90
2,136,5,48.70,10,0.90
2,136,5,75.50,15,0.90
2,136,5,130.90,20,0.90
2,136,5,176.80,25,0.90
2,136,5,175.30,30,0.90
2,136,5,242.00,35,0.90
2,137,6,0.00,0,0.90
2,137,6,35.00,10,0.90
2,137,6,67.20,15,0.90
2,137,6,86.50,20,0.90
2,137,6,112.50,25,0.90
2,137,6,142.20,30,0.90
2,137,6,204.00,35,0.90
2,138,7,0.00,0,0.70
2,138,7,19.80,10,0.70
2,138,7,62.00,15,0.70
2,138,7,92.20,20,0.70
2,138,7,125.00,25,0.70
2,138,7,172.70,30,0.70
2,138,7,203.00,35,0.70
2,139,8,0.00,0,0.70
2,139,8,35.20,10,0.70
2,139,8,57.60,15,0.70
2,139,8,105.20,20,0.70
2,139,8,141.70,25,0.70
2,139,8,209.00,30,0.70
